age3,sex,race,year0,ex,se_ex
3,2,1,11,18.520689,.12629895
3,2,1,12,18.941868,.12627433
3,2,1,13,19.353071,.12930027
3,2,1,14,19.291849,.12246861
3,2,1,15,19.642143,.12245689
3,2,1,16,19.745827,.12184033
3,2,1,17,19.749214,.11763596
3,2,1,18,20.179052,.11914957
3,2,1,19,20.666225,.12052616
3,2,2,0,20.344303,.063018121
3,2,2,1,20.673122,.062711708
3,2,2,2,21.07855,.061383743
3,2,2,3,21.178808,.059142917
3,2,2,4,21.386497,.058345556
3,2,2,5,21.86414,.056860138
3,2,2,6,21.792191,.055354871
3,2,2,7,22.14282,.054282732
3,2,2,8,22.554667,.054374531
3,2,2,9,22.656507,.053249214
3,2,2,10,22.889133,.051861688
3,2,2,11,22.717169,.049922019
3,2,2,12,23.303827,.049503691
3,2,2,13,23.543648,.047778308
3,2,2,14,23.468409,.04611519
3,2,2,15,24.307846,.046388615
3,2,2,16,24.102537,.044467825
3,2,2,17,24.427788,.044269282
3,2,2,18,24.243412,.042501688
3,2,2,19,24.43103,.041977182
3,2,3,0,14.13054,.02875033
3,2,3,1,14.281544,.028972682
3,2,3,2,14.438046,.028627101
3,2,3,3,14.610847,.028413018
3,2,3,4,14.745083,.028394848
3,2,3,5,15.058693,.028544247
3,2,3,6,15.205641,.028499767
3,2,3,7,15.485595,.028846145
3,2,3,8,15.694839,.0289091
3,2,3,9,15.878151,.028903343
3,2,3,10,16.268822,.029450053
3,2,3,11,16.296555,.029030494
3,2,3,12,16.623882,.029085105
3,2,3,13,16.758888,.028825914
3,2,3,14,16.803608,.028224258
3,2,3,15,17.031006,.028090117
3,2,3,16,17.041981,.027542576
3,2,3,17,17.025024,.026996227
3,2,3,18,17.046015,.026545659
3,2,3,19,17.00421,.025997827
3,2,4,0,16.09794,.0090528736
3,2,4,1,16.253222,.0090715745
3,2,4,2,16.447908,.0091312211
3,2,4,3,16.51326,.009084953
3,2,4,4,16.736841,.0091406563
3,2,4,5,17.091635,.0092531322
3,2,4,6,17.150389,.0091951573
3,2,4,7,17.458445,.009282887
3,2,4,8,17.657129,.0092812674
3,2,4,9,17.655954,.0091225561
3,2,4,10,17.964378,.0091777937
3,2,4,11,17.956047,.0090646772
3,2,4,12,18.063047,.0090183951
3,2,4,13,18.214756,.0088628214
3,2,4,14,18.229599,.008726391
3,2,4,15,18.321228,.0086593488
3,2,4,16,18.255299,.0084943715
3,2,4,17,18.382465,.0084504979
3,2,4,18,18.32728,.0082705701
3,2,4,19,18.424311,.0081873527
3,2,5,0,18.519449,.043881133
3,2,5,1,18.724453,.043318406
3,2,5,2,18.824596,.04185313
3,2,5,3,18.945787,.04085071
3,2,5,4,19.225603,.040289376
3,2,5,5,19.721916,.040422551
3,2,5,6,19.347242,.038308565
3,2,5,7,19.960283,.038425893
3,2,5,8,20.281944,.038232919
3,2,5,9,20.466753,.037784778
3,2,5,10,20.792042,.03728918
3,2,5,11,20.541122,.035685573
3,2,5,12,21.206404,.036235712
3,2,5,13,21.276997,.035124417
3,2,5,14,21.350246,.034565236
3,2,5,15,21.679874,.034003451
3,2,5,16,21.718761,.033387098
3,2,5,17,21.794867,.032652028
3,2,5,18,21.811092,.031716395
3,2,5,19,21.799679,.030971592
