sex,race,year0,ex,se_ex
2,4,10,76.397575,.014959311
2,4,10,52.578743,.012777565
2,4,10,17.964378,.0091777937
2,4,11,76.463493,.014850652
2,4,11,52.616398,.012685502
2,4,11,17.956047,.0090646772
2,4,12,76.486687,.014902414
2,4,12,52.647301,.012722972
2,4,12,18.063047,.0090183951
2,4,13,76.643417,.014849948
2,4,13,52.772049,.012701103
2,4,13,18.214756,.0088628214
2,4,14,76.615028,.014837101
2,4,14,52.743839,.012668968
2,4,14,18.229599,.008726391
2,4,15,76.632736,.014848624
2,4,15,52.743958,.012722603
2,4,15,18.321228,.0086593488
2,4,16,76.457764,.014871348
2,4,16,52.579113,.012746381
2,4,16,18.255299,.0084943715
2,4,17,76.330612,.015099968
2,4,17,52.492634,.012950934
2,4,17,18.382465,.0084504979
2,4,18,76.255554,.015056715
2,4,18,52.388912,.012937149
2,4,18,18.32728,.0082705701
2,4,19,76.440582,.014990969
2,4,19,52.529896,.012879683
2,4,19,18.424311,.0081873527
2,5,0,77.225258,.049665004
2,5,0,53.531773,.048125453
2,5,0,18.519449,.043881133
2,5,1,77.417007,.048966601
2,5,1,53.755745,.047416616
2,5,1,18.724453,.043318406
2,5,2,77.598412,.047296714
2,5,2,53.900864,.045843661
2,5,2,18.824596,.04185313
2,5,3,77.712975,.046222765
2,5,3,54.047691,.044708807
2,5,3,18.945787,.04085071
2,5,4,77.948753,.045545071
2,5,4,54.308125,.044002447
2,5,4,19.225603,.040289376
2,5,5,78.598526,.04529928
2,5,5,54.938534,.043808833
2,5,5,19.721916,.040422551
2,5,6,78.213074,.043318126
2,5,6,54.580868,.04173667
2,5,6,19.347242,.038308565
2,5,7,78.875885,.043173485
2,5,7,55.229004,.041645829
2,5,7,19.960283,.038425893
2,5,8,79.304192,.042685941
2,5,8,55.615597,.04122502
2,5,8,20.281944,.038232919
2,5,9,79.701248,.041963596
2,5,9,55.915833,.040578295
2,5,9,20.466753,.037784778
2,5,10,80.122833,.041371565
2,5,10,56.29311,.039986271
2,5,10,20.792042,.03728918
2,5,11,80.157356,.039815273
2,5,11,56.245964,.038425107
2,5,11,20.541122,.035685573
2,5,12,80.842796,.039959796
2,5,12,56.889339,.03867694
2,5,12,21.206404,.036235712
2,5,13,80.887352,.039039731
2,5,13,56.931328,.037679233
2,5,13,21.276997,.035124417
2,5,14,81.00724,.038428787
