"COD recode (24 causes)"	"Sex (no total)"	"Race recode (White, Black)"	"Age recode with <1 year olds (5cat)"	"Year of death (no total)"	"Age-Adjusted Rate"	"Count"	"Population"
5	1	1	3	32	34.3	2220	6893731
5	1	1	3	33	35.7	2402	7053048
5	1	1	3	34	34.8	2442	7206433
5	1	1	3	35	33.5	2452	7360826
5	1	1	3	36	34.0	2587	7529144
5	1	1	3	37	33.1	2612	7702251
5	1	1	3	38	30.8	2534	7856495
5	1	1	3	39	28.6	2448	7991139
5	1	1	3	40	29.0	2586	8116487
5	1	1	3	41	27.3	2549	8241305
5	1	1	3	42	27.1	2619	8343107
5	1	1	3	43	26.1	2599	8425914
5	1	1	3	44	25.6	2609	8502646
5	1	1	3	45	24.6	2577	8583085
5	1	1	3	46	22.5	2422	8673568
5	1	1	3	47	21.7	2403	8748628
5	1	1	3	48	19.9	2249	8824720
5	1	1	4	0	42.5	356	841551
5	1	1	4	1	48.0	413	878751
5	1	1	4	2	47.8	436	915783
5	1	1	4	3	47.4	438	950790
5	1	1	4	4	49.5	491	985992
5	1	1	4	5	50.3	517	1027904
5	1	1	4	6	58.4	621	1066340
5	1	1	4	7	61.3	668	1099453
5	1	1	4	8	60.8	714	1139341
5	1	1	4	9	68.9	814	1178816
5	1	1	4	10	73.3	884	1218798
5	1	1	4	11	84.0	1057	1252321
5	1	1	4	12	83.6	1076	1281834
5	1	1	4	13	93.1	1221	1312755
5	1	1	4	14	105.7	1419	1342118
5	1	1	4	15	101.8	1400	1370197
5	1	1	4	16	111.2	1560	1396952
5	1	1	4	17	120.4	1733	1426920
5	1	1	4	18	126.8	1864	1456501
5	1	1	4	19	137.6	2058	1486039
5	1	1	4	20	149.4	2279	1514800
5	1	1	4	21	154.3	2395	1542420
5	1	1	4	22	166.8	2622	1571800
5	1	1	4	23	173.2	2785	1601278
5	1	1	4	24	176.0	2864	1629713
5	1	1	4	25	185.4	3063	1655179
5	1	1	4	26	187.3	3148	1681609
5	1	1	4	27	194.7	3310	1707799
5	1	1	4	28	203.3	3496	1731507
5	1	1	4	29	204.5	3565	1754370
5	1	1	4	30	206.7	3636	1773388
5	1	1	4	31	203.4	3633	1798709
5	1	1	4	32	202.2	3654	1821726
5	1	1	4	33	209.2	3825	1842997
5	1	1	4	34	212.3	3933	1869516
5	1	1	4	35	213.5	4009	1894198
5	1	1	4	36	213.6	4080	1930726
5	1	1	4	37	207.7	4037	1966435
5	1	1	4	38	207.8	4112	2006642
5	1	1	4	39	204.3	4149	2057845
5	1	1	4	40	195.7	4045	2107377
5	1	1	4	41	203.5	4330	2165125
5	1	1	4	42	197.5	4310	2226001
5	1	1	4	43	195.1	4404	2321170
5	1	1	4	44	191.8	4500	2419080
5	1	1	4	45	184.2	4487	2526001
5	1	1	4	46	174.5	4437	2641488
5	1	1	4	47	169.4	4464	2760651
5	1	1	4	48	162.1	4455	2874676
6	0	0	0	0	 	 	1514641
6	0	0	0	1	 	 	1520117
6	0	0	0	2	 	 	1553592
6	0	0	0	3	 	 	1413121
6	0	0	0	4	 	 	1330370
6	0	0	0	5	 	 	1307809
6	0	0	0	6	 	 	1346332
6	0	0	0	7	 	 	1325561
6	0	0	0	8	 	 	1394848
6	0	0	0	9	 	 	1412505
6	0	0	0	10	 	 	1448419
6	0	0	0	11	 	 	1493786
6	0	0	0	12	 	 	1516142
6	0	0	0	13	 	 	1525865
6	0	0	0	14	 	 	1526163
6	0	0	0	15	 	 	1491206
6	0	0	0	16	 	 	1534172
6	0	0	0	17	 	 	1536973
6	0	0	0	18	 	 	1529082
6	0	0	0	19	 	 	1541190
6	0	0	0	20	 	 	1567669
6	0	0	0	21	 	 	1624007
6	0	0	0	22	 	 	1625478
6	0	0	0	23	 	 	1606157
6	0	0	0	24	 	 	1574670
6	0	0	0	25	 	 	1551711
6	0	0	0	26	 	 	1539528
6	0	0	0	27	 	 	1524669
6	0	0	0	28	 	 	1519823
6	0	0	0	29	 	 	1521486
6	0	0	0	30	 	 	1527801
6	0	0	0	31	 	 	1541238
6	0	0	0	32	 	 	1594490
6	0	0	0	33	 	 	1572249
6	0	0	0	34	 	 	1582125
6	0	0	0	35	 	 	1591206
6	0	0	0	36	 	 	1574764
6	0	0	0	37	 	 	1582557
6	0	0	0	38	 	 	1612525
6	0	0	0	39	 	 	1595501
6	0	0	0	40	 	 	1540088
6	0	0	0	41	 	 	1522490
6	0	0	0	42	 	 	1534654
6	0	0	0	43	 	 	1510617
6	0	0	0	44	 	 	1505703
6	0	0	0	45	 	 	1516827
6	0	0	0	46	 	 	1522072
6	0	0	0	47	 	 	1512444
6	0	0	0	48	 	 	1489721
6	0	0	1	0	 	 	23728170
6	0	0	1	1	 	 	23574128
6	0	0	1	2	 	 	23392871
6	0	0	1	3	 	 	23167157
6	0	0	1	4	 	 	22799887
6	0	0	1	5	 	 	22361343
6	0	0	1	6	 	 	21913505
6	0	0	1	7	 	 	21458208
6	0	0	1	8	 	 	21009347
6	0	0	1	9	 	 	20665104
6	0	0	1	10	 	 	20350287
6	0	0	1	11	 	 	20121485
6	0	0	1	12	 	 	20028472
6	0	0	1	13	 	 	19989691
6	0	0	1	14	 	 	19994853
6	0	0	1	15	 	 	19980565
6	0	0	1	16	 	 	19895646
6	0	0	1	17	 	 	19838957
6	0	0	1	18	 	 	19934523
6	0	0	1	19	 	 	20120944
6	0	0	1	20	 	 	20349453
6	0	0	1	21	 	 	20612902
6	0	0	1	22	 	 	20986491
6	0	0	1	23	 	 	21317771
6	0	0	1	24	 	 	21633347
6	0	0	1	25	 	 	21874749
6	0	0	1	26	 	 	22017868
6	0	0	1	27	 	 	22150364
6	0	0	1	28	 	 	22253331
6	0	0	1	29	 	 	22355932
6	0	0	1	30	 	 	22486645
6	0	0	1	31	 	 	22535184
6	0	0	1	32	 	 	22485328
6	0	0	1	33	 	 	22495077
6	0	0	1	34	 	 	22461424
6	0	0	1	35	 	 	22415201
6	0	0	1	36	 	 	22321770
6	0	0	1	37	 	 	22253511
6	0	0	1	38	 	 	22221328
6	0	0	1	39	 	 	22251257
6	0	0	1	40	 	 	22296668
6	0	0	1	41	 	 	22283642
6	0	0	1	42	 	 	22207104
6	0	0	1	43	 	 	22155927
6	0	0	1	44	 	 	22084717
6	0	0	1	45	 	 	22012952
6	0	0	1	46	 	 	21933659
6	0	0	1	47	 	 	21886847
6	0	0	1	48	 	 	21860045
6	0	0	2	0	 	 	25291136
6	0	0	2	1	 	 	26326736
6	0	0	2	2	 	 	27361341
6	0	0	2	3	 	 	28433226
6	0	0	2	4	 	 	29360222
6	0	0	2	5	 	 	30248159
6	0	0	2	6	 	 	31101972
6	0	0	2	7	 	 	31946673
6	0	0	2	8	 	 	32657834
6	0	0	2	9	 	 	33159764
6	0	0	2	10	 	 	33731518
6	0	0	2	11	 	 	34164079
6	0	0	2	12	 	 	34578968
6	0	0	2	13	 	 	34437172
6	0	0	2	14	 	 	34436271
6	0	0	2	15	 	 	34453909
6	0	0	2	16	 	 	34506384
6	0	0	2	17	 	 	34544066
6	0	0	2	18	 	 	34363469
6	0	0	2	19	 	 	34073536
6	0	0	2	20	 	 	33703966
6	0	0	2	21	 	 	33421011
6	0	0	2	22	 	 	33158851
6	0	0	2	23	 	 	32955984
6	0	0	2	24	 	 	32726539
6	0	0	2	25	 	 	32534235
6	0	0	2	26	 	 	32396208
6	0	0	2	27	 	 	32254941
6	0	0	2	28	 	 	32186601
6	0	0	2	29	 	 	32163671
6	0	0	2	30	 	 	32134229
6	0	0	2	31	 	 	32204972
6	0	0	2	32	 	 	32288497
6	0	0	2	33	 	 	32370952
6	0	0	2	34	 	 	32391965
6	0	0	2	35	 	 	32508241
6	0	0	2	36	 	 	32566411
6	0	0	2	37	 	 	32656817
6	0	0	2	38	 	 	32779366
6	0	0	2	39	 	 	32965297
6	0	0	2	40	 	 	33126950
6	0	0	2	41	 	 	33257744
6	0	0	2	42	 	 	33446766
6	0	0	2	43	 	 	33615418
6	0	0	2	44	 	 	33748998
6	0	0	2	45	 	 	33872312
6	0	0	2	46	 	 	33936061
6	0	0	2	47	 	 	34000041
6	0	0	2	48	 	 	33984692
6	0	0	3	0	0.3	85	28027361
6	0	0	3	1	0.3	88	28124642
6	0	0	3	2	0.4	124	28221459
6	0	0	3	3	0.3	86	28323666
6	0	0	3	4	0.3	103	28418381
6	0	0	3	5	0.3	98	28486408
6	0	0	3	6	0.3	94	28557458
6	0	0	3	7	0.2	75	28729712
6	0	0	3	8	0.3	103	28944324
6	0	0	3	9	0.3	89	29373347
6	0	0	3	10	0.2	62	29718173
6	0	0	3	11	0.3	92	29983012
6	0	0	3	12	0.2	72	30191996
6	0	0	3	13	0.2	70	30865437
6	0	0	3	14	0.2	73	31362331
6	0	0	3	15	0.2	71	31875419
6	0	0	3	16	0.3	95	32352403
6	0	0	3	17	0.2	73	32885813
6	0	0	3	18	0.2	85	33446770
6	0	0	3	19	0.2	65	34073789
6	0	0	3	20	0.2	81	34731073
6	0	0	3	21	0.2	82	35451310
6	0	0	3	22	0.2	58	36291875
6	0	0	3	23	0.2	69	37216167
6	0	0	3	24	0.3	94	38103478
6	0	0	3	25	0.3	103	39003054
6	0	0	3	26	0.3	100	39921038
6	0	0	3	27	0.2	82	40859406
6	0	0	3	28	0.2	90	41850330
6	0	0	3	29	0.2	87	42796685
6	0	0	3	30	0.2	92	43712855
6	0	0	3	31	0.3	115	44478901
6	0	0	3	32	0.2	103	45168468
6	0	0	3	33	0.2	92	45783871
6	0	0	3	34	0.2	102	46321531
6	0	0	3	35	0.2	84	46917401
6	0	0	3	36	0.2	91	47566183
6	0	0	3	37	0.2	104	48157096
6	0	0	3	38	0.2	92	48557957
6	0	0	3	39	0.2	110	48745516
6	0	0	3	40	0.2	128	48946733
6	0	0	3	41	0.2	102	49175113
6	0	0	3	42	0.2	116	49295232
6	0	0	3	43	0.2	105	49080757
6	0	0	3	44	0.2	102	48981311
6	0	0	3	45	0.2	113	48931554
6	0	0	3	46	0.2	106	48991717
6	0	0	3	47	0.2	111	48994751
6	0	0	3	48	0.2	141	48968062
6	0	0	4	0	2.0	134	7511561
6	0	0	4	1	2.1	142	7646350
6	0	0	4	2	2.2	154	7780919
6	0	0	4	3	2.0	147	7914369
6	0	0	4	4	2.0	148	8051446
6	0	0	4	5	2.1	149	8208800
6	0	0	4	6	2.1	152	8365755
6	0	0	4	7	2.1	162	8542272
6	0	0	4	8	1.8	142	8746247
6	0	0	4	9	1.9	147	8941410
6	0	0	4	10	1.6	124	9155543
6	0	0	4	11	1.6	134	9366962
6	0	0	4	12	1.8	145	9533505
6	0	0	4	13	1.9	166	9722669
6	0	0	4	14	1.7	152	9923904
6	0	0	4	15	1.6	138	10101619
6	0	0	4	16	1.8	163	10296803
6	0	0	4	17	1.5	142	10518414
6	0	0	4	18	2.0	186	10750480
6	0	0	4	19	1.7	162	10928399
6	0	0	4	20	1.9	183	11137779
6	0	0	4	21	1.4	145	11350917
6	0	0	4	22	1.7	167	11566544
6	0	0	4	23	1.8	187	11777005
6	0	0	4	24	1.9	202	11997536
6	0	0	4	25	1.8	205	12173070
6	0	0	4	26	1.8	199	12362101
6	0	0	4	27	1.8	209	12517027
6	0	0	4	28	1.7	201	12624403
6	0	0	4	29	1.8	213	12717923
6	0	0	4	30	1.8	218	12797066
6	0	0	4	31	2.0	244	12903454
6	0	0	4	32	1.9	240	13010642
6	0	0	4	33	1.7	206	13123017
6	0	0	4	34	1.8	222	13282081
6	0	0	4	35	1.7	217	13443735
6	0	0	4	36	1.7	219	13639547
6	0	0	4	37	1.7	220	13864652
6	0	0	4	38	1.7	223	14154596
6	0	0	4	39	1.7	237	14572265
6	0	0	4	40	1.5	213	14934885
6	0	0	4	41	1.7	246	15293170
6	0	0	4	42	1.6	245	15651711
6	0	0	4	43	1.5	234	16404082
6	0	0	4	44	1.7	268	17013332
6	0	0	4	45	1.6	258	17610475
6	0	0	4	46	1.5	261	18179393
6	0	0	4	47	1.5	270	18766873
6	0	0	4	48	1.5	274	19362094
6	0	1	0	0	 	 	239711
6	0	1	0	1	 	 	240793
6	0	1	0	2	 	 	254565
6	0	1	0	3	 	 	239800
6	0	1	0	4	 	 	231559
6	0	1	0	5	 	 	225355
6	0	1	0	6	 	 	230396
6	0	1	0	7	 	 	229574
6	0	1	0	8	 	 	244916
6	0	1	0	9	 	 	246239
6	0	1	0	10	 	 	256841
6	0	1	0	11	 	 	271215
6	0	1	0	12	 	 	269763
6	0	1	0	13	 	 	273227
6	0	1	0	14	 	 	272576
6	0	1	0	15	 	 	267174
6	0	1	0	16	 	 	275410
6	0	1	0	17	 	 	280367
6	0	1	0	18	 	 	286659
6	0	1	0	19	 	 	296726
6	0	1	0	20	 	 	314886
6	0	1	0	21	 	 	320671
6	0	1	0	22	 	 	322244
6	0	1	0	23	 	 	322549
6	0	1	0	24	 	 	320522
6	0	1	0	25	 	 	311916
6	0	1	0	26	 	 	300477
6	0	1	0	27	 	 	289104
6	0	1	0	28	 	 	295451
6	0	1	0	29	 	 	299701
6	0	1	0	30	 	 	307443
6	0	1	0	31	 	 	316393
6	0	1	0	32	 	 	326628
6	0	1	0	33	 	 	317650
6	0	1	0	34	 	 	315118
6	0	1	0	35	 	 	320836
6	0	1	0	36	 	 	329152
6	0	1	0	37	 	 	337086
6	0	1	0	38	 	 	353833
6	0	1	0	39	 	 	353526
6	0	1	0	40	 	 	346752
6	0	1	0	41	 	 	340914
6	0	1	0	42	 	 	341857
6	0	1	0	43	 	 	340947
6	0	1	0	44	 	 	341695
6	0	1	0	45	 	 	345107
6	0	1	0	46	 	 	347452
6	0	1	0	47	 	 	344441
6	0	1	0	48	 	 	339133
6	0	1	1	0	 	 	3768738
6	0	1	1	1	 	 	3772591
6	0	1	1	2	 	 	3762774
6	0	1	1	3	 	 	3756095
6	0	1	1	4	 	 	3734064
6	0	1	1	5	 	 	3703198
6	0	1	1	6	 	 	3679914
6	0	1	1	7	 	 	3644563
6	0	1	1	8	 	 	3600204
6	0	1	1	9	 	 	3572979
6	0	1	1	10	 	 	3551258
6	0	1	1	11	 	 	3586432
6	0	1	1	12	 	 	3589983
6	0	1	1	13	 	 	3606647
6	0	1	1	14	 	 	3628440
6	0	1	1	15	 	 	3649602
6	0	1	1	16	 	 	3666087
6	0	1	1	17	 	 	3670013
6	0	1	1	18	 	 	3697774
6	0	1	1	19	 	 	3743665
6	0	1	1	20	 	 	3806359
6	0	1	1	21	 	 	3899018
6	0	1	1	22	 	 	4031689
6	0	1	1	23	 	 	4153214
6	0	1	1	24	 	 	4275395
6	0	1	1	25	 	 	4378752
6	0	1	1	26	 	 	4454940
6	0	1	1	27	 	 	4525870
6	0	1	1	28	 	 	4575116
6	0	1	1	29	 	 	4630088
6	0	1	1	30	 	 	4688205
6	0	1	1	31	 	 	4726113
6	0	1	1	32	 	 	4738751
6	0	1	1	33	 	 	4760430
6	0	1	1	34	 	 	4763970
6	0	1	1	35	 	 	4750871
6	0	1	1	36	 	 	4725180
6	0	1	1	37	 	 	4713244
6	0	1	1	38	 	 	4715668
6	0	1	1	39	 	 	4735958
6	0	1	1	40	 	 	4769079
6	0	1	1	41	 	 	4796640
6	0	1	1	42	 	 	4805857
6	0	1	1	43	 	 	4814849
6	0	1	1	44	 	 	4821156
6	0	1	1	45	 	 	4829061
6	0	1	1	46	 	 	4831677
6	0	1	1	47	 	 	4846219
6	0	1	1	48	 	 	4867665
6	0	1	2	0	 	 	3155053
6	0	1	2	1	 	 	3308641
6	0	1	2	2	 	 	3460915
6	0	1	2	3	 	 	3622825
6	0	1	2	4	 	 	3761939
6	0	1	2	5	 	 	3911743
6	0	1	2	6	 	 	4070351
6	0	1	2	7	 	 	4224896
6	0	1	2	8	 	 	4358462
6	0	1	2	9	 	 	4485899
6	0	1	2	10	 	 	4617898
6	0	1	2	11	 	 	4815298
6	0	1	2	12	 	 	4934056
6	0	1	2	13	 	 	5001838
6	0	1	2	14	 	 	5061968
6	0	1	2	15	 	 	5113957
6	0	1	2	16	 	 	5159519
6	0	1	2	17	 	 	5221239
6	0	1	2	18	 	 	5257927
6	0	1	2	19	 	 	5273487
6	0	1	2	20	 	 	5266578
6	0	1	2	21	 	 	5271228
6	0	1	2	22	 	 	5276094
6	0	1	2	23	 	 	5311978
6	0	1	2	24	 	 	5327595
6	0	1	2	25	 	 	5349566
6	0	1	2	26	 	 	5380589
6	0	1	2	27	 	 	5409465
6	0	1	2	28	 	 	5444290
6	0	1	2	29	 	 	5474999
6	0	1	2	30	 	 	5496885
6	0	1	2	31	 	 	5535501
6	0	1	2	32	 	 	5593243
6	0	1	2	33	 	 	5663095
6	0	1	2	34	 	 	5720600
6	0	1	2	35	 	 	5828071
6	0	1	2	36	 	 	5926447
6	0	1	2	37	 	 	6028472
6	0	1	2	38	 	 	6124670
6	0	1	2	39	 	 	6229713
6	0	1	2	40	 	 	6330394
6	0	1	2	41	 	 	6426157
6	0	1	2	42	 	 	6539428
6	0	1	2	43	 	 	6650919
6	0	1	2	44	 	 	6756476
6	0	1	2	45	 	 	6852957
6	0	1	2	46	 	 	6939668
6	0	1	2	47	 	 	7029343
6	0	1	2	48	 	 	7098144
6	0	1	3	0	0.4	12	2789904
6	0	1	3	1	0.5	15	2815368
6	0	1	3	2	0.3	10	2839977
6	0	1	3	3	0.6	19	2866373
6	0	1	3	4	0.7	21	2885412
6	0	1	3	5	0.5	16	2900539
6	0	1	3	6	0.5	17	2911753
6	0	1	3	7	0.5	18	2941297
6	0	1	3	8	0.4	14	2969884
6	0	1	3	9	0.4	13	3005920
6	0	1	3	10	 	 	3045170
6	0	1	3	11	0.4	14	3129368
6	0	1	3	12	0.5	16	3169697
6	0	1	3	13	0.3	11	3244660
6	0	1	3	14	0.5	16	3322705
6	0	1	3	15	0.4	13	3410667
6	0	1	3	16	 	 	3500851
6	0	1	3	17	 	 	3602060
6	0	1	3	18	0.6	21	3701169
6	0	1	3	19	0.5	19	3806224
6	0	1	3	20	0.3	11	3920807
6	0	1	3	21	0.6	22	4051741
6	0	1	3	22	0.3	11	4204619
6	0	1	3	23	0.3	13	4376012
6	0	1	3	24	0.5	20	4541235
6	0	1	3	25	0.3	14	4710568
6	0	1	3	26	0.5	22	4883829
6	0	1	3	27	0.5	23	5054195
6	0	1	3	28	0.5	25	5239600
6	0	1	3	29	0.4	18	5424116
6	0	1	3	30	0.6	32	5612001
6	0	1	3	31	0.6	32	5790922
6	0	1	3	32	0.5	27	5949423
6	0	1	3	33	0.5	29	6091555
6	0	1	3	34	0.4	25	6226987
6	0	1	3	35	0.4	23	6372044
6	0	1	3	36	0.3	20	6528932
6	0	1	3	37	0.5	31	6690362
6	0	1	3	38	0.3	24	6835954
6	0	1	3	39	0.5	33	6965218
6	0	1	3	40	0.4	26	7083541
6	0	1	3	41	0.4	32	7202298
6	0	1	3	42	0.4	34	7286479
6	0	1	3	43	0.4	33	7356351
6	0	1	3	44	0.5	41	7423128
6	0	1	3	45	0.3	28	7495491
6	0	1	3	46	0.3	30	7582116
6	0	1	3	47	0.4	36	7653633
6	0	1	3	48	0.3	31	7726181
6	0	1	4	0	2.9	17	649543
6	0	1	4	1	2.2	14	670190
6	0	1	4	2	2.3	16	690759
6	0	1	4	3	3.4	22	709929
6	0	1	4	4	2.3	14	729443
6	0	1	4	5	3.8	22	749997
6	0	1	4	6	1.6	12	767367
6	0	1	4	7	2.9	22	783969
6	0	1	4	8	2.7	17	802152
6	0	1	4	9	3.6	26	819908
6	0	1	4	10	3.3	24	839080
6	0	1	4	11	2.1	15	852302
6	0	1	4	12	2.2	19	862379
6	0	1	4	13	3.6	24	874120
6	0	1	4	14	2.6	22	885224
6	0	1	4	15	2.5	23	894174
6	0	1	4	16	2.7	19	904102
6	0	1	4	17	2.7	23	914869
6	0	1	4	18	2.0	17	927055
6	0	1	4	19	5.2	38	938141
6	0	1	4	20	2.7	24	950412
6	0	1	4	21	2.3	21	960228
6	0	1	4	22	2.6	23	975093
6	0	1	4	23	2.5	23	990558
6	0	1	4	24	3.8	34	1006696
6	0	1	4	25	3.8	37	1021062
6	0	1	4	26	4.4	40	1036705
6	0	1	4	27	4.2	39	1051984
6	0	1	4	28	3.4	34	1064897
6	0	1	4	29	3.3	30	1078856
6	0	1	4	30	3.5	34	1090557
6	0	1	4	31	3.1	29	1106806
6	0	1	4	32	3.6	37	1126206
6	0	1	4	33	3.2	34	1144968
6	0	1	4	34	2.4	25	1167645
6	0	1	4	35	3.2	32	1189647
6	0	1	4	36	3.0	36	1219988
6	0	1	4	37	2.3	26	1247475
6	0	1	4	38	2.5	29	1278555
6	0	1	4	39	3.3	43	1318528
6	0	1	4	40	2.1	26	1358168
6	0	1	4	41	3.3	44	1404186
6	0	1	4	42	2.7	35	1453223
6	0	1	4	43	2.0	27	1529755
6	0	1	4	44	2.8	39	1606815
6	0	1	4	45	3.2	55	1689221
6	0	1	4	46	3.2	56	1778238
6	0	1	4	47	2.3	38	1866398
6	0	1	4	48	2.9	48	1949646
6	1	0	0	0	 	 	1447512
6	1	0	0	1	 	 	1450772
6	1	0	0	2	 	 	1475462
6	1	0	0	3	 	 	1346384
6	1	0	0	4	 	 	1267677
6	1	0	0	5	 	 	1240561
6	1	0	0	6	 	 	1277991
6	1	0	0	7	 	 	1260113
6	1	0	0	8	 	 	1321057
6	1	0	0	9	 	 	1340661
6	1	0	0	10	 	 	1374248
6	1	0	0	11	 	 	1417899
6	1	0	0	12	 	 	1437659
6	1	0	0	13	 	 	1448184
6	1	0	0	14	 	 	1447087
6	1	0	0	15	 	 	1415159
6	1	0	0	16	 	 	1455371
6	1	0	0	17	 	 	1459090
6	1	0	0	18	 	 	1451789
6	1	0	0	19	 	 	1463898
6	1	0	0	20	 	 	1490283
6	1	0	0	21	 	 	1542122
6	1	0	0	22	 	 	1544642
6	1	0	0	23	 	 	1530646
6	1	0	0	24	 	 	1491473
6	1	0	0	25	 	 	1471729
6	1	0	0	26	 	 	1459432
6	1	0	0	27	 	 	1446136
6	1	0	0	28	 	 	1443871
6	1	0	0	29	 	 	1442376
6	1	0	0	30	 	 	1451166
6	1	0	0	31	 	 	1464611
6	1	0	0	32	 	 	1523342
6	1	0	0	33	 	 	1501448
6	1	0	0	34	 	 	1508897
6	1	0	0	35	 	 	1518291
6	1	0	0	36	 	 	1500994
6	1	0	0	37	 	 	1509872
6	1	0	0	38	 	 	1538040
6	1	0	0	39	 	 	1525335
6	1	0	0	40	 	 	1471609
6	1	0	0	41	 	 	1455553
6	1	0	0	42	 	 	1461423
6	1	0	0	43	 	 	1442078
6	1	0	0	44	 	 	1437978
6	1	0	0	45	 	 	1442716
6	1	0	0	46	 	 	1451960
6	1	0	0	47	 	 	1442459
6	1	0	0	48	 	 	1419675
6	1	0	1	0	 	 	22716673
6	1	0	1	1	 	 	22555640
6	1	0	1	2	 	 	22373706
6	1	0	1	3	 	 	22143911
6	1	0	1	4	 	 	21781913
6	1	0	1	5	 	 	21348603
6	1	0	1	6	 	 	20907513
6	1	0	1	7	 	 	20462316
6	1	0	1	8	 	 	20022441
6	1	0	1	9	 	 	19679251
6	1	0	1	10	 	 	19371753
6	1	0	1	11	 	 	19130593
6	1	0	1	12	 	 	19034752
6	1	0	1	13	 	 	18985581
6	1	0	1	14	 	 	18983858
6	1	0	1	15	 	 	18960234
6	1	0	1	16	 	 	18872903
6	1	0	1	17	 	 	18816902
6	1	0	1	18	 	 	18903877
6	1	0	1	19	 	 	19075507
6	1	0	1	20	 	 	19291129
6	1	0	1	21	 	 	19539041
6	1	0	1	22	 	 	19894220
6	1	0	1	23	 	 	20211574
6	1	0	1	24	 	 	20519608
6	1	0	1	25	 	 	20749741
6	1	0	1	26	 	 	20887092
6	1	0	1	27	 	 	21013803
6	1	0	1	28	 	 	21113087
6	1	0	1	29	 	 	21212899
6	1	0	1	30	 	 	21336360
6	1	0	1	31	 	 	21384712
6	1	0	1	32	 	 	21341175
6	1	0	1	33	 	 	21359886
6	1	0	1	34	 	 	21337823
6	1	0	1	35	 	 	21300291
6	1	0	1	36	 	 	21222789
6	1	0	1	37	 	 	21162682
6	1	0	1	38	 	 	21136887
6	1	0	1	39	 	 	21174938
6	1	0	1	40	 	 	21228987
6	1	0	1	41	 	 	21231709
6	1	0	1	42	 	 	21180343
6	1	0	1	43	 	 	21137529
6	1	0	1	44	 	 	21080653
6	1	0	1	45	 	 	21019375
6	1	0	1	46	 	 	20944413
6	1	0	1	47	 	 	20898211
6	1	0	1	48	 	 	20869562
6	1	0	2	0	1.7	355	25897534
6	1	0	2	1	2.0	415	26701272
6	1	0	2	2	1.8	402	27504351
6	1	0	2	3	1.9	444	28346322
6	1	0	2	4	1.8	431	29171012
6	1	0	2	5	1.8	460	29973519
6	1	0	2	6	1.8	463	30772078
6	1	0	2	7	1.7	455	31554365
6	1	0	2	8	1.8	513	32220868
6	1	0	2	9	1.7	479	32695588
6	1	0	2	10	1.6	484	33213071
6	1	0	2	11	1.6	494	33626780
6	1	0	2	12	1.6	525	33980132
6	1	0	2	13	1.7	545	33794197
6	1	0	2	14	1.6	533	33714981
6	1	0	2	15	1.7	550	33661283
6	1	0	2	16	1.5	509	33652871
6	1	0	2	17	1.5	497	33605042
6	1	0	2	18	1.5	530	33378974
6	1	0	2	19	1.4	501	33049238
6	1	0	2	20	1.4	497	32635017
6	1	0	2	21	1.4	479	32296973
6	1	0	2	22	1.4	494	31997259
6	1	0	2	23	1.3	450	31703164
6	1	0	2	24	1.1	398	31440555
6	1	0	2	25	1.2	402	31213239
6	1	0	2	26	1.1	380	31021718
6	1	0	2	27	1.1	381	30839034
6	1	0	2	28	1.1	374	30725430
6	1	0	2	29	1.1	361	30651492
6	1	0	2	30	1.0	310	30551394
6	1	0	2	31	1.1	329	30549834
6	1	0	2	32	1.0	309	30614509
6	1	0	2	33	0.9	289	30706266
6	1	0	2	34	0.9	279	30807987
6	1	0	2	35	0.9	270	30899753
6	1	0	2	36	0.8	242	30975225
6	1	0	2	37	0.8	248	31057534
6	1	0	2	38	0.8	226	31211168
6	1	0	2	39	0.8	236	31407516
6	1	0	2	40	0.8	235	31598880
6	1	0	2	41	0.7	216	31747146
6	1	0	2	42	0.8	232	31932383
6	1	0	2	43	0.7	231	32059171
6	1	0	2	44	0.8	245	32168570
6	1	0	2	45	0.7	235	32268980
6	1	0	2	46	0.8	265	32307929
6	1	0	2	47	1.0	307	32348520
6	1	0	2	48	0.8	251	32328995
6	1	0	3	0	44.0	14510	29952270
6	1	0	3	1	44.7	14811	30057163
6	1	0	3	2	43.7	14681	30161999
6	1	0	3	3	44.6	15162	30261813
6	1	0	3	4	44.0	15074	30357893
6	1	0	3	5	43.6	15017	30426249
6	1	0	3	6	42.9	14822	30496815
6	1	0	3	7	43.4	15215	30662464
6	1	0	3	8	43.6	15319	30863824
6	1	0	3	9	43.0	15297	31280350
6	1	0	3	10	41.8	14931	31614616
6	1	0	3	11	42.4	15287	31874296
6	1	0	3	12	41.9	15150	32037866
6	1	0	3	13	41.7	15205	32658202
6	1	0	3	14	41.4	15227	33101619
6	1	0	3	15	41.9	15442	33558016
6	1	0	3	16	42.6	15733	33974126
6	1	0	3	17	41.7	15404	34435697
6	1	0	3	18	41.1	15243	34910297
6	1	0	3	19	41.5	15468	35456823
6	1	0	3	20	40.9	15280	36020485
6	1	0	3	21	40.4	15165	36647003
6	1	0	3	22	39.5	15015	37399837
6	1	0	3	23	37.4	14425	38238106
6	1	0	3	24	36.4	14273	39068407
6	1	0	3	25	35.6	14204	39923754
6	1	0	3	26	35.1	14277	40800096
6	1	0	3	27	33.5	13874	41697347
6	1	0	3	28	32.1	13670	42648656
6	1	0	3	29	30.5	13390	43564261
6	1	0	3	30	28.4	12846	44455629
